year,average,North East,North West,Yorkshire and Humber,East Midlands,West Midlands,East of England,London,South East,South West
2000,131000.0,91250.0,102500.0,96500.0,111000.0,121000.0,143000.0,210500.0,187500.0,128000.0
2001,142750.0,104000.0,109250.0,101750.0,122000.0,129750.0,162750.0,217000.0,196250.0,143000.0
2002,167750.0,121750.0,127500.0,132750.0,140000.0,156000.0,192000.0,234250.0,229000.0,165750.0
2003,200250.0,153500.0,155750.0,156000.0,166250.0,183750.0,223250.0,310000.0,259750.0,200000.0
2004,222250.0,181000.0,179000.0,178250.0,189750.0,193750.0,238750.0,310500.0,280250.0,217000.0
2005,225500.0,184250.0,191000.0,183000.0,191250.0,197000.0,240500.0,314250.0,276500.0,220750.0
2006,228750.0,188500.0,196000.0,196000.0,193500.0,199750.0,249250.0,277000.0,270500.0,217000.0
2007,225500.0,194250.0,199750.0,197500.0,196000.0,197000.0,235500.0,265000.0,261000.0,218750.0
2008,220500.0,198000.0,198750.0,200750.0,188500.0,189500.0,222750.0,264000.0,253250.0,208750.0
2009,200250.0,180000.0,175500.0,181250.0,171250.0,181250.0,211500.0,221750.0,229500.0,195750.0
2010,217250.0,177250.0,182250.0,187000.0,174500.0,187250.0,229000.0,255750.0,265000.0,203750.0
2011,228750.0,168250.0,192500.0,182750.0,186500.0,193250.0,248250.0,300500.0,290750.0,222500.0
2012,235250.0,166000.0,183750.0,181750.0,187500.0,197500.0,253500.0,325750.0,310250.0,234750.0
2013,246000.0,178750.0,186250.0,181000.0,190750.0,194500.0,276750.0,361750.0,318000.0,227250.0
2014,285500.0,189000.0,196000.0,197000.0,209000.0,205750.0,302500.0,460500.0,360750.0,242500.0
2015,289000.0,190250.0,211500.0,208000.0,220250.0,228250.0,314000.0,483750.0,359750.0,252750.0
2016,301750.0,201000.0,231000.0,227500.0,239000.0,245250.0,335250.0,468250.0,370750.0,265750.0
2017,313250.0,214500.0,239250.0,236500.0,250250.0,260000.0,343000.0,472500.0,377250.0,283250.0
2018,318250.0,217750.0,242500.0,240000.0,265750.0,269500.0,352250.0,477250.0,381000.0,289500.0
2019,316500.0,228000.0,237500.0,242500.0,265250.0,279500.0,350750.0,470500.0,374500.0,286500.0
2020,326500.0,234250.0,248750.0,250250.0,269500.0,282750.0,350750.0,471250.0,386500.0,299500.0
2021,326750.0,241250.0,267750.0,259750.0,278750.0,282250.0,366750.0,450750.0,381500.0,304750.0
2022,340750.0,253750.0,275750.0,267750.0,293250.0,292500.0,381000.0,452500.0,399250.0,319250.0
2023,328750.0,262250.0,279250.0,279750.0,291000.0,302000.0,372250.0,391500.0,378750.0,316250.0